CANDIDATO;DATA;MUNICIPIO;UF;CATEGORIA;ATIVIDADE
AECIO NEVES;20.08.2014;Sao Paulo;SP;Encontro com eleitores;"Carreata do ""Programa Mulheres de Peito"""
AECIO NEVES;20.08.2014;Sao Paulo;SP;Reuniao politica;Encontro com liderancas sindicais
AECIO NEVES;21.08.2014;Extremoz;RN;Encontro com eleitores;Visita a fabrica Guarapes
AECIO NEVES;21.08.2014;Natal;RN;Encontro com eleitores;Caminhada
AECIO NEVES;21.08.2014;Natal;RN;Imprensa;Coletiva de imprensa
AECIO NEVES;21.08.2014;Patos;PB;Encontro com eleitores;Comicio com o candidato ao governo da Paraíba Cassio Cunha Lima
AECIO NEVES;21.08.2014;Pombal;PB;Encontro com eleitores;Comicio com o candidato ao governo da Paraíba Cassio Cunha Lima
AECIO NEVES;22.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Visita a Associacao Brasileira Beneficente de Reabilitacao
AECIO NEVES;23.08.2014;Salvador;BA;Propaganda eleitoral;Lancamento do programa “Nordeste Forte”
AECIO NEVES;23.08.2014;Salvador;BA;Encontro com eleitores;Visita a Igreja de Nosso Senhor do Bonfim
AECIO NEVES;23.08.2014;Iguatu;CE;Encontro com eleitores;Ato politico
AECIO NEVES;24.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Visita ao Abrigo Cristo Redentor
AECIO NEVES;25.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Caminhada na Rua da Alfandega
AECIO NEVES;25.08.2014;Rio de Janeiro;RJ;Imprensa;Entrevista a Radio Saara
AECIO NEVES;26.08.2014;Rio de Janeiro;RJ;Imprensa;Coletiva de imprensa
AECIO NEVES;26.08.2014;Sao Paulo;SP;Imprensa;Debate TV Bandeirantes
AECIO NEVES;27.08.2014;Sao Paulo;SP;Propaganda eleitoral;"Lancamento do portal ""Vamos Agir"""
AECIO NEVES;27.08.2014;Sao Paulo;SP;Imprensa;Sabatina do jornal Estado de Sao Paulo
AECIO NEVES;28.08.2014;Sao Paulo;SP;Encontro com eleitores;Cafe da manha com operarios da construcao civil no Condominio Jardim das Perdizes
AECIO NEVES;28.08.2014;Campinas;SP;Encontro com eleitores;Comicio
AECIO NEVES;29.08.2014;Sao Paulo;SP;Encontro com eleitores;Visita ao monotrilho em Vila Prudente
AECIO NEVES;30.08.2014;Sao Jose do Rio Preto;SP;Encontro com eleitores;Ato politico no Esporte Clube
AECIO NEVES;30.08.2014;Sao Jose do Rio Preto;SP;Encontro com eleitores;Caminhada
AECIO NEVES;30.08.2014;Sao Jose do Rio Preto;SP;Reuniao politica;Encontro com liderancas politicas
AECIO NEVES;31.08.2014;Sao Paulo;SP;Encontro com eleitores;Visita ao Projeto Escola Zico 10
AECIO NEVES;31.08.2014;Sao Paulo;SP;Encontro com eleitores;Jogo de futebol “Futebol entre Amigos”
AECIO NEVES;01.09.2014;Sao Paulo;SP;Propaganda eleitoral;Gravacao de programa eleitoral
AECIO NEVES;01.09.2014;Sao Paulo;SP;Imprensa;Debate SBT/Folha/UOL/Jovem Pan
AECIO NEVES;02.09.2014;Sao Paulo;SP;Reuniao politica;Reuniao com a coordenacao da campanha
AECIO NEVES;02.09.2014;Sao Paulo;SP;Imprensa;Coletiva de imprensa
AECIO NEVES;03.09.2014;Sao Paulo;SP;Imprensa;Entrevista a Radio CBN
AECIO NEVES;03.09.2014;Santos;SP;Encontro com eleitores;Caminhada
AECIO NEVES;03.09.2014;Sao Paulo;SP;Imprensa;Entrevista ao Jornal da Globo
AECIO NEVES;04.09.2014;Uberlandia;MG;Encontro com eleitores;Ato politico
AECIO NEVES;04.09.2014;Belo Honrizonte;MG;Reuniao politica;Encontro com liderancas politicas
AECIO NEVES;04.09.2014;Belo Honrizonte;MG;Encontro com eleitores;Caminhada
AECIO NEVES;20.08.2014;Sao Paulo;SP;Encontro com eleitores;"Carreata do ""Programa Mulheres de Peito"""
AECIO NEVES;20.08.2014;Sao Paulo;SP;Reuniao politica;Encontro com liderancas sindicais
AECIO NEVES;21.08.2014;Extremoz;RN;Encontro com eleitores;Visita a fabrica Guarapes
AECIO NEVES;21.08.2014;Natal;RN;Encontro com eleitores;Caminhada
AECIO NEVES;21.08.2014;Natal;RN;Imprensa;Coletiva de imprensa
AECIO NEVES;21.08.2014;Patos;PB;Encontro com eleitores;Comicio com o candidato ao governo da Paraíba Cassio Cunha Lima
AECIO NEVES;21.08.2014;Pombal;PB;Encontro com eleitores;Comicio com o candidato ao governo da Paraíba Cassio Cunha Lima
AECIO NEVES;22.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Visita a Associacao Brasileira Beneficente de Reabilitacao
AECIO NEVES;23.08.2014;Salvador;BA;Propaganda eleitoral;Lancamento do programa “Nordeste Forte”
AECIO NEVES;23.08.2014;Salvador;BA;Encontro com eleitores;Visita a Igreja de Nosso Senhor do Bonfim
AECIO NEVES;23.08.2014;Iguatu;CE;Encontro com eleitores;Ato politico
