CANDIDATO;DATA;MUNICIPIO;UF;CATEGORIA;ATIVIDADE
DILMA ROUSSEFF;20.08.2014;Belo Horizonte;MG;Propaganda eleitoral;Gravacao de imagens para a campanha
DILMA ROUSSEFF;20.08.2014;Belo Horizonte;MG;Encontro com eleitores;Entrevista durante visita ao Senai/Horto
DILMA ROUSSEFF;21.08.2014;Paulo Afonso;BA;Propaganda eleitoral;Gravacao de imagens para a campanha
DILMA ROUSSEFF;21.08.2014;Cabrobo;CE;Propaganda eleitoral;Gravacao de imagens para a campanha
DILMA ROUSSEFF;21.08.2014;Floresta;PE;Encontro com eleitores;"Visita ao ""Projeto Integracao do Sao Francisco"""
DILMA ROUSSEFF;22.08.2014;Novo Hamburgo;RS;Encontro com eleitores;Comicio na Estacaoo Fenac da Trensurb
DILMA ROUSSEFF;23.08.2014;Porto Alegre;RS;Reuniao politica;Encontro com liderancas politicas
DILMA ROUSSEFF;24.08.2014;Brasilia;DF;Imprensa;Coletiva de imprensa
DILMA ROUSSEFF;25.08.2014;Brasilia;DF;Imprensa;Coletiva de imprensa
DILMA ROUSSEFF;26.08.2014;Sao Paulo;SP;Imprensa;Debate TV Bandeirantes
DILMA ROUSSEFF;27.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Visita ao restaurante Cidadao Getulio Vargas
DILMA ROUSSEFF;27.08.2014;Rio de Janeiro;RJ;Imprensa;Coletiva de imprensa
DILMA ROUSSEFF;28.08.2014;Brasilia;DF;Encontro com eleitores;Encontro com trabalhadores da Confederacao Nacional dos Trabalhadores na Agricultura (Contag)
DILMA ROUSSEFF;29.08.2014;Salvador;BA;Propaganda eleitoral;Gravacao de imagens para a campanha
DILMA ROUSSEFF;29.08.2014;Salvador;BA;Imprensa;Entrevista
DILMA ROUSSEFF;29.08.2014;Salvador;BA;Encontro com eleitores;Visita ao Campus Integrado de Manufatura e Tecnologia (Senai/Cimatec)
DILMA ROUSSEFF;30.08.2014;Jales;SP;Reuniao politica;Encontro com liderancas politicas
DILMA ROUSSEFF;31.08.2014;Brasilia;DF;Imprensa;Coletiva de imprensa
DILMA ROUSSEFF;01.09.2014;Sao Paulo;SP;Imprensa;Debate SBT/Folha/UOL/Jovem Pan
DILMA ROUSSEFF;02.09.2014;Sao Bernardo do Campo;SP;Encontro com eleitores;Caminhada com integrantes do Sindicato dos Metalurgicos do ABC
DILMA ROUSSEFF;03.09.2014;Belo Horizonte;MG;Encontro com eleitores;Caminhada
DILMA ROUSSEFF;03.09.2014;Belo Horizonte;MG;Encontro com eleitores;Visita aa Olimpiada do Conhecimento 2014
DILMA ROUSSEFF;03.09.2014;Belo Horizonte;MG;Encontro com eleitores;Encontro com empresarios
DILMA ROUSSEFF;04.09.2014;Fortaleza;CE;Encontro com eleitores;Visita ao Residencial Cidade Jardim - Programa Minha Casa Minha Vida
DILMA ROUSSEFF;04.09.2014;Fortaleza;CE;Imprensa;Coletiva de imprensa
DILMA ROUSSEFF;04.09.2014;Recife;PE;Encontro com eleitores;Comicio
