CANDIDATO;DATA;MUNICIPIO;UF;CATEGORIA;ATIVIDADE
MARINA SILVA;20.08.2014;Brasilia;DF;Reuniao politica;Oficializacao da chapa Marina Silva e Beto Albuquerque
MARINA SILVA;21.08.2014;Brasilia;DF;Reuniao politica;Reuniao da coligacao Unidos pelo Brasil, na sede do PSB
MARINA SILVA;21.08.2014;Brasilia;DF;Imprensa;Coletiva de imprensa
MARINA SILVA;22.08.2014;Sao Paulo;SP;Reuniao politica;Reuniao com a coordenacao da campanha
MARINA SILVA;23.08.2014;Recife;PE;Encontro com eleitores;Caminhada
MARINA SILVA;23.08.2014;Recife;PE;Imprensa;Pronunciamento no Clube Internacional
MARINA SILVA;23.08.2014;Recife;PE;Reuniao politica;Encontro com liderancas politicas
MARINA SILVA;24.08.2014;Sao Paulo;SP;Encontro com eleitores;Visita ao Centro de Tradicoes Nordestinas de Sao Paulo
MARINA SILVA;25.08.2014;Sao Paulo;SP;Encontro com eleitores;Bienal do Livro
MARINA SILVA;26.08.2014;Sao Paulo;SP;Imprensa;Debate TV Bandeirantes
MARINA SILVA;27.08.2014;Rio de Janeiro;RJ;Imprensa;Entrevista Jornal Nacional
MARINA SILVA;28.08.2014;Sertaozinho;SP;Encontro com eleitores;Encontro com dirigentes da industria na Feira Internacional do Setor Sucroenergetico (Fenasucro)
MARINA SILVA;28.08.2014;Sertaozinho;SP;Imprensa;Coletiva de imprensa
MARINA SILVA;29.08.2014;Sao Paulo;SP;Reuniao politica;Lancamento do programa de governo
MARINA SILVA;30.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Caminhada na Rocinha
MARINA SILVA;30.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Encontro com a juventude
MARINA SILVA;31.08.2014;Sao Paulo;SP;Propaganda eleitoral;Gravacao do horario eleitoral
MARINA SILVA;01.09.2014;Sao Paulo;SP;Imprensa;Coletiva de imprensa
MARINA SILVA;01.09.2014;Sao Paulo;SP;Imprensa;Debate SBT/Folha/UOL/Jovem Pan
MARINA SILVA;01.09.2014;Sao Paulo;SP;Imprensa;Entrevista ao Jornal da Globo
MARINA SILVA;02.09.2014;Sao Paulo;SP;Imprensa;Sabatina do jornal Estado de Sao Paulo
MARINA SILVA;03.09.2014;Sao Paulo;SP;Imprensa;Sabatina do portal G1
MARINA SILVA;03.09.2014;Sao Paulo;SP;Encontro com eleitores;Encontro na faculdade de Medicina na USP
MARINA SILVA;03.09.2014;Sao Paulo;SP;Imprensa;Coletiva de imprensa
MARINA SILVA;04.09.2014;Porto Alegre;RS;Reuniao politica;Almoco com candidatos e aliados
MARINA SILVA;04.09.2014;Esteio;RS;Encontro com eleitores;Visita aa feira Expointer
MARINA SILVA;04.09.2014;Caxias do Sul;RS;Reuniao politica;Encontro com o candidato ao governo do Rio Grande do Sul Jose Ivo Sartori
