CANDIDATO;DATA;MUNICIPIO;UF;CATEGORIA;ATIVIDADE
AÉCIO NEVES;20.08.2014;São Paulo;SP;Encontro com eleitores;"Carreata do ""Programa Mulheres de Peito"""
AÉCIO NEVES;20.08.2014;São Paulo;SP;Reunião política;Encontro com lideranças sindicais
AÉCIO NEVES;21.08.2014;Extremoz;RN;Encontro com eleitores;Visita à fábrica Guarapes
AÉCIO NEVES;21.08.2014;Natal;RN;Encontro com eleitores;Caminhada
AÉCIO NEVES;21.08.2014;Natal;RN;Imprensa;Coletiva de imprensa
AÉCIO NEVES;21.08.2014;Patos;PB;Encontro com eleitores;Comício
AÉCIO NEVES;21.08.2014;Pombal;PB;Encontro com eleitores;Comício
AÉCIO NEVES;22.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Visita à Associação Brasileira Beneficente de Reabilitação
AÉCIO NEVES;23.08.2014;Salvador;BA;Ação de campanha;Lançamento do programa “Nordeste Forte”
AÉCIO NEVES;23.08.2014;Salvador;BA;Encontro com eleitores;Visita à Igreja de Nosso Senhor do Bonfim
AÉCIO NEVES;23.08.2014;Iguatu;CE;Encontro com eleitores;Ato político
AÉCIO NEVES;24.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Visita ao Abrigo Cristo Redentor
AÉCIO NEVES;25.08.2014;Rio de Janeiro;RJ;Encontro com eleitores;Caminhada na Rua da Alfândega
AÉCIO NEVES;25.08.2014;Rio de Janeiro;RJ;Imprensa;Entrevista à Rádio Saara
AÉCIO NEVES;26.08.2014;Rio de Janeiro;RJ;Imprensa;Coletiva de imprensa
AÉCIO NEVES;26.08.2014;São Paulo;SP;Imprensa;Debate TV Bandeirantes
AÉCIO NEVES;27.08.2014;São Paulo;SP;Ação de campanha;"Lançamento do portal ""Vamos Agir"""
AÉCIO NEVES;27.08.2014;São Paulo;SP;Imprensa;Sabatina do jornal Estado de São Paulo
AÉCIO NEVES;28.08.2014;São Paulo;SP;Encontro com eleitores;Café da manhã com operários da construção civil
AÉCIO NEVES;28.08.2014;Campinas;SP;Encontro com eleitores;Comício
AÉCIO NEVES;29.08.2014;São Paulo;SP;Encontro com eleitores;Visita ao monotrilho em Vila Prudente
AÉCIO NEVES;30.08.2014;São José do Rio Preto;SP;Encontro com eleitores;Ato político no Esporte Clube
AÉCIO NEVES;30.08.2014;São José do Rio Preto;SP;Encontro com eleitores;Caminhada
AÉCIO NEVES;30.08.2014;São José do Rio Preto;SP;Reunião política;Encontro com lideranças políticas
AÉCIO NEVES;31.08.2014;São Paulo;SP;Encontro com eleitores;Visita ao Projeto Escola Zico 10
